"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Syl","12","83.3%","13.75","1.42","12.17","1.08","92%","11.99","10.92","0.17","00:47","4%","0.17","0.58","0.25","27300.25","1398.99","40837.92","67779.00","21927.99","18644.25","64369.25","16020.33","41862.50","808.33","17786.92","10742.25","1125.59","18891.21","1616.42","9046.58","198.58","0.33","47713.58","43643.25","40304.01","32004.92","1:39","00:04","00:00","00:15","00:00","9689.33","487.46","4.42","0.00","0.33","0.08","53%","23%","28.37","10005.49","0.33","0","0","0","0","0","0","0","0.00","0.00","0.00","0","0","0","00:00","0","0.25","5","0.68","13%","22%","5%","8%","2%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","2","0","0"
"Bandayd","12","58.3%","10.33","1.00","9.33","2.00","88%","6.56","7.92","0.50","1:40","8%","1.25","1.00","0.25","25873.92","1131.16","23852.00","69055.00","15478.02","18913.58","51738.42","9745.83","34998.58","1882.42","16103.83","21.42","760.64","10753.67","136.58","17341.08","21.42","0.00","61685.00","51583.33","35746.86","48323.08","3:36","00:00","00:00","1:03","00:00","8816.08","393.20","4.83","0.00","0.25","0.08","31%","14%","28.19","11753.18","0","833.83","0","0","0","0","0","0","0.00","0.00","0.00","0","0","1418.17","00:00","0","0.33","3","0.43","14%","28%","0%","15%","5%","0","0","0%","0","0%","0","0","0","0","0","0","14","0","0","0","0","0"
"shane9110","11","45.5%","7.55","1.73","5.82","3.36","113%","3.96","4.73","0.27","2:01","11%","1.73","0.91","0.27","26355.09","1585.16","30570.00","67802.73","12169.95","16018.55","49803.00","10058.27","35138.27","529.45","21858.45","19053.00","1541.82","13853.48","4902.27","9717.18","0.00","0.27","45839.00","33052.18","19608.29","32480.82","3:11","00:00","00:06","00:08","00:00","8461.73","489.29","5.00","0.00","0.18","0.27","30%","13%","26.27","6946.97","0.00","0","0","0","0","0","0","3884.18","0.00","0.00","0.00","0","0","0","00:00","0","0.18","8","0.81","16%","23%","8%","17%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"ELIXER","10","90%","14.70","2.40","12.20","1.00","95%","14.22","11.70","0.20","00:41","3%","0.40","0.30","0.00","30897.50","1526.67","26667.10","69096.50","29327.50","17332.20","47242.70","12920.80","30590.80","1211.30","18654.50","28033.20","1863.38","30505.36","5271.80","6955.40","172.20","0.60","33726.40","30378.80","30182.32","23223.50","2:55","00:04","00:00","00:13","00:00","8643.90","454.21","5.70","0.00","0.50","0.00","53%","25%","28.29","10147.52","0.00","0","0","0","0","0","0","3876.20","0.00","0.00","0.00","0","0","0","00:00","0","0.10","5","1.18","13%","16%","14%","18%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"RandomPerson","10","0%","7.50","1.50","5.80","2.10","95%","4.35","4.30","0.30","1:30","7%","1.00","0.20","0.00","35918.30","1774.26","46265.00","89263.80","24337.97","22365.50","71388.40","5936.10","55678.80","652.80","20955.00","5729.40","687.82","7470.50","1270.50","9980.60","751.10","0.10","43281.00","35071.40","23536.75","29637.00","1:18","00:00","00:00","00:11","00:00","10776.90","521.66","4.20","0.00","0.00","0.10","12%","13%","24.64","6533.01","0","827.50","0.00","0.00","0","0","0","3489.40","0","0","0","0","0","0","00:00","0","0.10","7","1.22","23%","17%","2%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","11","0","0","0","0","0"
"Rusty","9","55.6%","11.67","1.89","9.78","2.00","96%","9.31","7.67","0.22","1:28","7%","1.11","0.78","0.11","30780.44","1515.79","34999.22","72532.56","21678.44","23264.78","65067.22","12494.11","41381.56","2652.11","11517.22","431.78","846.82","11753.57","0.00","16493.44","431.78","0.00","69317.89","59257.67","48540.89","51287.11","5:42","00:13","00:00","00:18","00:00","8908.22","429.35","1.78","0.00","0.11","0.00","30%","18%","26.30","7796.01","0.00","0","0","0","0","0","0","723.78","0.00","0.00","0.00","0","0","0","00:00","0","1.00","3","0.45","15%","32%","0%","28%","3%","0","0","0%","0","0%","0","0","0","0","0","0","12","0","0","54","0","0"
"Kerkero66","9","77.8%","10.78","2.44","8.33","2.44","74%","7.35","7.22","0.22","1:50","10%","1.44","0.89","0.11","40813.89","2076.38","63573.22","125497.44","27052.53","28026.78","119057.00","6816.44","98085.67","2999.56","29773.33","0.00","1142.03","15717.25","0.00","22355.00","0.00","0.00","55612.00","49085.11","36245.04","35313.67","2:21","00:00","00:00","00:05","00:00","18502.22","970.63","4.56","0.00","0.33","0.11","53%","24%","27.26","8491.23","0.89","0","0","0","0","0","0","3410.56","0.00","0.00","0.00","0","0","0","00:00","0","0.00","3","0.75","21%","27%","0%","12%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"SparhawK","8","0%","7.63","1.38","6.25","4.00","80%","2.31","5.75","0.13","3:16","15%","1.88","1.13","0.00","45350.88","2109.08","57122.38","98151.75","12103.11","28144.25","85105.13","13467.25","54559.88","4909.50","20310.38","9806.25","1210.62","6440.20","3287.88","15806.38","306.38","0.00","66961.88","51292.38","18551.10","45536.13","6:01","00:00","00:03","00:15","00:00","11028.75","517.80","4.38","0.00","0.00","0.13","33%","11%","25.76","7933.31","0","0","0","0","0","0","0","6308.63","0","0","0","0","0","0","00:00","0","0","5","0.73","26%","24%","4%","27%","1%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Draven","6","83.3%","15.00","6.33","8.67","1.33","88%","13.83","11.17","0.67","00:51","5%","0.67","0.83","0.17","83777.17","4991.28","75438.50","128687.17","73847.75","43282.33","101452.17","31305.00","58352.83","915.33","20684.50","0.00","632.75","8574.33","0.00","10359.67","0.00","0.00","26885.00","22874.17","22155.25","16716.83","2:29","00:00","00:00","00:00","00:00","10932.33","656.75","3.00","0.00","0.83","0.17","56%","20%","26.26","6232.41","0","0","0","0","0","0","0","1211.17","0","0","0","0.00","0","0","00:00","0","0.00","4","3.55","45%","14%","0%","16%","0%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"BadMonkey","5","60%","7.60","1.60","6.00","3.20","81%","2.63","5.60","0.20","2:15","9%","1.60","0.20","0.00","13804.40","586.29","55532.40","22156.80","4408.10","8648.40","44423.60","7920.00","31646.80","1408.60","17884.80","56267.20","2641.81","25710.91","12844.40","1095.60","936.80","1.40","35307.60","24641.40","14041.39","24358.40","00:24","00:02","00:05","00:15","00:00","8280.60","369.86","6.80","0.20","0.00","0.20","6%","15%","27.76","10527.15","0","0","0","0","0","0","0","1945.00","0","0","0","0","0","0.00","00:00","0","0.00","3","0.38","7%","16%","26%","2%","2%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"Galahad","4","50%","8.25","2.00","6.25","3.25","97%","3.95","4.75","0.50","2:09","9%","2.00","0.50","0.25","35205.75","1528.48","44954.00","64330.25","16133.31","24282.25","52989.75","15827.00","32284.75","258.00","19009.00","232.75","718.73","7525.44","37.00","16234.50","232.75","0.00","73741.25","56639.25","28304.80","56094.00","2:14","00:12","00:00","00:11","00:00","9102.50","408.40","6.50","0.00","0.00","0.25","16%","12%","26.02","8096.26","0","0","0","0","0","0","0","6169.25","0","0","0","0","0","0","00:00","0","0","3","0.49","16%","34%","0%","9%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"DanSolo56","4","50%","7.75","0.75","7.00","3.50","67%","2.69","3.75","0.25","2:08","12%","1.50","1.25","0.50","26435.75","1492.05","28700.50","96960.00","8644.81","17287.00","82224.50","5914.00","69290.00","1675.75","14619.50","0.00","929.54","6087.69","0.00","17376.00","0.00","0.00","59401.75","46260.00","20285.56","32373.00","1:19","00:02","00:00","00:16","00:00","12936.00","731.49","2.00","0.00","0.00","0.50","24%","18%","26.37","7325.45","0","0","0.00","1.25","0","0","0","0","0","0","0","5.00","0","0","00:00","0","1.25","4","0.46","17%","28%","0%","8%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","2","0","0"
"Fujin","3","33.3%","6.67","2.67","4.00","2.00","61%","4.06","5.00","0.67","00:58","5%","0.33","0.33","0.00","37171.00","1984.97","82494.67","71990.00","23622.94","24623.33","108414.00","14873.67","77314.00","1947.67","4873.67","0.00","946.59","10468.78","0.00","17462.00","0.00","0.00","69842.00","64407.00","42221.83","36549.33","2:23","00:00","00:00","00:22","00:00","15151.67","804.14","0.00","0.00","0.00","0.00","37%","9%","26.24","7107.88","0","0","0.00","1.00","0","0","0","0","0","0","0","13.33","0","0.00","00:00","0","0","2","0.53","17%","33%","0%","12%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Hayleqwyn","2","0%","10.00","2.00","8.00","4.00","75%","2.50","7.00","1.50","2:49","13%","1.00","1.00","0.00","28670.50","1383.16","42737.50","94519.50","7167.63","19042.00","78842.00","7052.50","65110.50","341.00","31310.50","4921.50","1054.06","5661.88","0.00","12804.50","4921.50","0.00","56278.00","39780.50","14069.50","38054.00","00:50","00:00","00:03","00:01","00:00","12470.00","612.34","2.50","0.00","0.00","0.50","1%","13%","24.92","6295.38","0","0","0","0","0","0","0","13085.00","0","0","0","0","0","0","00:00","0","1.00","2","0.53","16%","21%","3%","4%","0%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
