team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Sugarman's Soggy Sandwich Shop,D,2.437209302325581,38,124.97321428571429,126.12797619047619,154.35119047619048,181.77380952380952,180.31328320802004,139.23046801189702,316.51481120025824,48.454395234636074,81355.61904761905,139841.33333333334,9280.952380952382,1041.625,509.3333333333333,1904.3809523809523,20.047619047619047,58.857142857142854,6.571428571428571,32941.333333333336,2495.190476190476,1344.047619047619,7733.713030133928,26671.034075055803,55142.47619047619
BeatGen: El Classico,A,5.395652173913043,44,127.46195652173913,116.10597826086956,144.12771739130437,169.4239130434782,169.88043478260875,156.96972039108508,323.9316102138317,62.125815951553776,92262.34782608696,146167.4347826087,9050.391304347826,1173.1983695652175,441.30434782608694,859,13.73913043478261,67.78260869565217,30.217391304347824,37859.47826086957,3579.356593919837,2346.7391304347825,11962.175186820652,30041.654296875,59151.260869565216
Let's Spam Dehaka,BE,7.394495412844036,30,116.79513888888889,115.57291666666666,135.1701388888889,164.79166666666663,167.9201388888889,147.43364327203923,374.0448450318457,54.11865214856495,88932.11111111111,107362.55555555556,11747.444444444445,1215.5034722222222,318.05555555555554,3397.8333333333335,9.555555555555555,36.111111111111114,15.722222222222221,45446.444444444445,3762.722222222222,1779.1666666666667,10269.820149739584,32431.775349934895,69344.05555555556
Magnitude: Fault Shift,BW,7.117647058823529,36,123.27941176470588,119.79779411764704,144.15073529411768,160.25367647058818,171.15073529411768,171.74800013659552,345.41422665890775,61.418751424249905,96742.17647058824,130028.82352941176,10571.764705882353,1056.110294117647,295.7647058823529,1712.764705882353,9.058823529411764,23.470588235294116,13.705882352941176,33752.58823529412,3916.7422162224266,3722.0588235294117,10089.386345358456,28260.149083754597,52273.82352941176
Macro Machines,BW,6.407407407407407,35,123.5625,118.4375,139.121875,173.07220394736845,173.5625,182.86466737481243,346.30402765045324,63.03076075450176,91832.1,121646.5,13853.8,1019.15,329,801.5,7.05,38.65,25.05,34191.8,3094.4,2445,9843.58642578125,26366.05729980469,51680.85
Beyonce Gnolls,D,2.3968253968253967,30,123.7421875,123.2890625,161.64453125,179.21875,176.73527644230774,129.27253293441555,283.95246171002066,59.1104034952355,76164.9375,125639.4375,9701.875,1034.38671875,426.1875,2349.625,8.3125,38.5625,15.5625,33909.25,2584.25,1182.8125,7608.381637573242,25287.360809326172,57262.625
YCMYCCaST: Ahsoka (Da Lanes),D,1.930909090909091,37,123.753125,127.065625,145.72187499999998,168.60000000000002,179.88569078947364,149.93238123340177,314.6187262547445,59.58022464051502,83334.15,125560.2,9638.8,1067.51875,617.8,987.65,9.05,32.55,31.4,34679.4,2625.15,1461.25,7498.911730957031,27963.74758300781,57570.6
Magnitude: Aftershock,BW,3.4166666666666665,30,127.71691176470588,120.02205882352942,151.7389705882353,174.9338235294117,178.20151654411768,158.65827301156446,360.7488502199698,48.22894904292167,90412.70588235294,133061.0588235294,9381.35294117647,1212.7242647058824,557.8823529411765,1168.8235294117646,11.588235294117647,53.529411764705884,7.705882352941177,40211.64705882353,4032.159107881434,1541.1764705882354,8612.085678998163,31446.6974810432,64109.294117647056
30 Seconds to Mosh,D,2.580808080808081,30,125.77960526315789,125.36513157894737,154.12828947368422,175.13157894736844,175.16483918128654,143.45233511044665,339.92631749574565,62.34087804353715,85094.52631578948,140775.05263157896,10306.736842105263,1163.1677631578948,487.1578947368421,807.3684210526316,21,54.8421052631579,23.31578947368421,40568.31578947369,3510.842105263158,1325,8637.941059313322,28887.279772306745,62897.31578947369
Bork Side of the Moon,BW,6.592356687898089,31,119.1875,114.55208333333334,137.87152777777774,156.46527777777783,173.05208333333326,155.7286913985337,344.20143166787943,65.93888396206562,102306.11111111111,146657.27777777778,18320.61111111111,1219.90625,448.8333333333333,943.6666666666666,5.722222222222222,70,18.666666666666668,42656.444444444445,3622.277777777778,2786.1111111111113,10820.216878255209,33018.155870225695,69407.72222222222
Habitual Line Steppers,D,5.426966292134831,34,122.54166666666667,116.75892857142857,146.59523809523807,168.35714285714283,167.16369047619048,161.67227242572704,351.1125825118758,63.161709387146004,96728.95238095238,129695.90476190476,12970.52380952381,1148.077380952381,410.2857142857143,494.5238095238095,18.19047619047619,51.42857142857143,14.476190476190476,40026.19047619047,4134.809523809524,2085.714285714286,10402.67724609375,30176.19412667411,58332.857142857145
Crimson Cyber Squad,C,5.098039215686274,39,116.75,114.8233695652174,142.34782608695653,172.35597826086956,182.4184782608695,158.9840295337365,347.3038334808989,71.63493178454908,100237.26086956522,147087.8260869565,12435.695652173914,1263.5760869565217,410.7391304347826,3250.608695652174,11.782608695652174,48.47826086956522,19.695652173913043,42438.434782608696,3603.478260869565,2656.521739130435,10762.464302394701,35608.60205078125,70980.65217391304
Cream Team,D,6.857142857142857,30,124.69345238095238,123.52083333333334,152.79166666666669,167.59523809523807,161.83928571428567,176.1108490924468,337.7476119974502,65.4632792908565,104347.80952380953,143219.42857142858,15032.142857142857,1260.1875,458.0952380952381,2845.809523809524,19.61904761904762,52.57142857142857,42.095238095238095,39429.71428571428,5455.571428571428,2576.190476190476,13217.674037388393,35017.251592726934,65437.52380952381
Completely Clueless Strategies,BW,2.0332225913621262,42,129.74375,130.084375,144.89884868421052,183.9901315789474,176.64617598684208,153.46066927891147,272.6710439997882,68.30024365239102,104679.35,160514.45,12364.8,1120.903125,612.4,1340.35,19.9,48.8,11.6,33332.1,3211.45,1723.75,9846.15966796875,29036.506103515625,61644.55
Roll1Esports,BW,1.9131944444444444,36,124.33630952380952,125.44345238095238,146.44642857142858,186.89568452380956,175.9295955882352,135.92236840123346,312.29690454568004,53.390813770855836,78962.14285714286,139385.42857142858,10605.238095238095,1111.3660714285713,558.5714285714286,2034.095238095238,15.904761904761905,48.61904761904762,26.142857142857142,36303.71428571428,3459,990.4761904761905,6649.8955078125,28114.15786597842,60206.57142857143
