name,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Slang Bros,Nexus,5.173913043478261,50,121.58388157894737,110.51315789473685,137.08223684210526,159.82410206258885,169.40033783783792,183.45110476771433,343.3601464052195,63.92799043302118,111286.02631578948,138688.15789473685,12259.078947368422,1079.998355263158,386.4736842105263,1505.0526315789473,13.394736842105264,48.36842105263158,15.631578947368421,38414.77631578947,4150.6712839226975,2125,10096.78521407278,29024.4162083676,17617.855263157893
Dragon Gall Z,E,12.20979020979021,33,124.12276785714286,112.26339285714286,137.6875,158.6941964285714,164.9034391534392,161.82689574877054,325.31701908710176,60.811625678538284,90719.57142857143,111449.39285714286,12945.357142857143,1101.6763392857142,211.78571428571428,653.3928571428571,19.285714285714285,64.57142857142857,22.535714285714285,36844.17857142857,4076.214285714286,2453.5714285714284,12036.068289620536,31508.13032749721,20967.5
Rooster Pizza WBP,E,5.623255813953488,36,126.95572916666667,115.22656249999999,136.26822916666666,162.53125000000006,168.23833786231876,150.61825178422296,342.02010353028896,62.17813439380492,94585.41666666667,128894,9996.458333333334,1095.40625,416.2916666666667,1525.9166666666667,15.333333333333334,48.541666666666664,18,36984.1875,3203.7083333333335,2504.1666666666665,10633.343353271484,29942.72538248698,20622.0625
Sexy Mofos,BW,4.067796610169491,37,122.03515625,120.392578125,138.251953125,171.51953125,168.10521673387098,172.53547685422942,359.436084447552,67.2786575730349,100484.125,142412.9375,11607.03125,1160.119140625,494.65625,1353.03125,24.9375,40,30.25,39229.65625,4193.5,2009.375,10181.953620910645,32670.27043914795,21863.90625
BoomerGaming,Nexus,6.666666666666667,38,121.03492647058823,114.59558823529412,139.39522058823528,156.88970588235298,173.75735294117646,164.92494099173553,358.22671858139597,72.58811417941236,103851.5,157695.5588235294,14432.64705882353,1201.8970588235295,314.9117647058824,1460.5882352941176,26.852941176470587,67.47058823529412,31.176470588235293,43839.30882352941,4121.970588235294,2543.3823529411766,10846.53751148897,31741.776561063878,20052.691176470587
A Solid School,Nexus,4.592,38,124.01102941176471,115.52941176470587,144.52573529411765,162.02852049910877,178.85227272727275,158.62560021242746,318.8790645586773,60.19575592541509,92084.61764705883,126703.35294117648,10655.411764705883,1088.2922794117646,388.3235294117647,1209.9117647058824,16.735294117647058,34.23529411764706,17.235294117647058,37141.044117647056,4027.676470588235,2263.970588235294,9741.705860811122,27819.919993681066,17126.48529411765
Hot(s) Dads,BE,6.445578231292517,35,126.74285714285715,120.18571428571427,144.05357142857142,164.54359243697485,172.87867647058818,153.5819914655233,317.6284280232515,53.23042312484327,100798.28571428571,137642.2857142857,11201.771428571428,1227.8553571428572,372.6,1462.5428571428572,9.085714285714285,73.42857142857143,14.142857142857142,39655.68571428571,4741.723890904018,2243.5714285714284,12483.187339564733,33088.78314732143,24165.257142857146
Rainbow Shrooms,DW,6.0344827586206895,37,121.1271551724138,110.40086206896551,129.4719827586207,157.82112068965512,165.02370689655174,142.45557695903085,319.86096179590425,61.86508467577126,95050.72413793103,136710.27586206896,14220.793103448275,1184.3362068965516,510.44827586206895,1220.1379310344828,17.551724137931036,49.6551724137931,26.96551724137931,40632.65517241379,3650.7241379310344,3796.551724137931,13411.54184065194,32886.36055360991,25246.275862068964
Magnitude: Epicenter,A,3.938953488372093,29,124.455078125,115.349609375,145.78515625,172.787109375,176.8984375,178.89819677299127,326.69664296959417,57.98244674297156,101739.75,141346.84375,12171.1875,1146.751953125,453.34375,1601.4375,6.75,56.53125,29.28125,38312.59375,3362.8684463500977,2021.09375,9264.846794128418,29973.241607666016,20783.03125
Xul Gin Distillery,C,4.636591478696742,34,123.17463235294117,119.7169117647059,139.44117647058823,160.96874999999994,176.52757352941182,171.57001858646257,325.54771458865457,70.56519539662479,111673.20588235294,150753.5,15156.176470588236,1161.2224264705883,456.61764705882354,860.6470588235294,17.205882352941178,71.70588235294117,27.735294117647058,39438.367647058825,3691.9117647058824,2029.4117647058824,10885.186300838695,31310.742086971506,21747.720588235294
