name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
thcSpectre#348240,BE,4,Uncomfortably Numb,2.4285714285714284,8.5,0.9375,22081,1017.4273853363018,29575.75,51935.75,2348.93434555758,25351.5,10628.5,8509,18202,5369.5,250.67757562712876,284.5,6.75,10.75,2,162,0.13016698928917383
ZeroDayAttak#6171296,BE,4,Start Slow Then Taper Off,7.5,7.5,0.6284496753246753,31649,1640.9400728392661,50702.75,0,938.8441524234395,145419,17323.25,0,24665.25,20178.5,1090.8594083487608,117.25,0,3,19,45,0.03594637642234903
Xenochrist#463664,BE,2,Start Slow Then Taper Off,5,7.5,0.7857142857142857,28879,1931.1276248767317,78480.5,4522.5,1334.6702885222567,35241.5,22668.5,0,53051,6519.5,445.5674790279463,44.5,0,0,8.5,46.5,0.0450199685344306
Lew#1602585,BE,4,Start Slow Then Taper Off,11,11,0.9772727272727273,52783.25,2895.8459120498865,33370.25,0,85.3240575868786,131867,20393,0,16488,13109.75,694.9283128516572,242,0,0,2,42.25,0.03197594976619273
ûltear#11040643,BE,4,Start Slow Then Taper Off,6.333333333333333,9.5,0.8090503246753247,49230.5,2682.648927012645,28577.75,0,151.03473314776716,98430.5,22381.25,0,15298,9822.5,498.02089078939304,13,0,6.75,0,58.25,0.04902962124773248
ShadowDroid#10269097,BE,4,Start Slow Then Taper Off,9.5,9.5,0.8090503246753247,12488,671.3396101257916,19365.5,76824.5,4448.5590488848275,27906.25,5380.25,8460.5,11179.75,5338,287.8851738336976,1694,7.75,3,26.75,47.25,0.03580618190393417
honeybadger#10392259,BE,2,Start Slow Then Taper Off,5,12.5,0.9232954545454546,46058.5,2097.316488224577,92631,2768,1453.0870785832649,73065,32741,2146,61177,11928,542.9847083594107,168,0,0,39.5,123,0.09378217929981597
Kiknazz#1000102,BE,2,Uncomfortably Numb,2.6666666666666665,12,0.8080357142857143,68994.5,2977.2068941927123,36081.5,0,959.8831701653862,133069.5,28421,0,21429,15072,634.8396342298834,0,0,31,0,190.5,0.14069685400072773
Tracer#1860373,BE,2,Protectors of Aiur,12,12,0.9642857142857143,47554.5,1899.069550650332,51540.5,0,585.1381533782999,132740.5,29066.5,0,30111.5,15414,615.3939706689569,44.5,0,0,0,43.5,0.029364120669453753
USAESanger#761104,BE,2,Surely We Scale,1.6,4,1,13490.5,536.4075556104377,28125,84894,3766.91091704835,38223,6218,9406.5,17336,6423.5,256.7010620052133,36,17.5,15.5,3,92,0.06196709074280603
Maxyne#10230108,BE,2,Fashionable Latency,1.2857142857142858,4.5,0.9375,30869,1731.5148067586779,24434,0,138.5056784219964,49104,13246,0,15750.5,5871.5,347.6122013010824,85,0,0,0,153,0.13784221595458737
SHOGUNMISA#157865,BW,2,Bunker Fun Time,9,9,0.5921052631578947,26026.5,1391.5170661279437,43568.5,0,283.7788905922136,200923.5,14693.5,0,20198.5,25592.5,1362.1603369663694,331,0,0,0,43.5,0.040458084473072725
Riot#7119303,BW,1,Objective Optional,3,3,0.375,50195,2969.3862459945776,11903,0,0,104410,7792,0,5140,7761,459.11757456248466,0,0,0,0,21,0.02070495439980281
DeltaSniper#711347,A,4,The Part Timers,4.75,9.5,0.921875,71039.5,3524.297305197536,24135.25,0,0,132999.5,23434.5,0,12678,13301.25,658.0302781059479,416,3.5,2.5,4.25,79.5,0.06673547184121063
Cauthon#2004752,A,4,The Part Timers,3.8,9.5,0.921875,28170.5,1392.5759799375323,67028,0,1022.5256784890307,40484.75,18630,0,52269.5,8172.75,406.7060603112,170,0,0,41,104.75,0.09045191519885537
MacDaddyo#6126910,A,4,The Part Timers,3.25,9.75,0.9375,21470.75,1047.3722412110628,26486.25,57396.25,2949.1224696934123,20609,9895.25,9997.5,17419.25,6354,320.4592610950048,1785,0,0,12.75,120.75,0.10136591995388786
MDC#9525821,A,4,The Part Timers,2.769230769230769,9,0.821875,53335.5,2605.925641762257,58400.25,952.25,985.7241040107378,144281.75,19521.75,0,28613.25,20367.75,998.1013887159863,45.25,5.5,0,11.75,113.5,0.09712253288126615
HuckIt#6177491,A,4,The Part Timers,4,10,0.953125,64628.75,3168.2229888703046,33994.5,0,174.1239487000514,100052.5,28612.5,0,21839,11510,577.6404437928937,38,0,0,3,92.5,0.07921514205062896
krogdon#2220689,A,2,Hot(s) Dads,7,14,0.9047619047619048,53965,2406.145449877577,37683,0,349.9468525940199,56032,25699.5,0,16299.5,10102.5,501.4139249686075,415,0,0,0,90.5,0.05308112467465816
Trollz#10565867,A,2,Super Soakers,1.5,6,0.9230769230769231,43309.5,2081.872793109538,44592,0,409.19388540635657,86233.5,13808.5,0,25177,11396.5,501.18579265494094,43,31,0,8.5,167,0.1042703929524128
laurke#9630317,A,2,Super Soakers,3.3333333333333335,5,0.38461538461538464,51679,2062.416384738707,69912,0,1123.6280708212985,116818,38880,0,52435.5,16859,939.7528109316215,188,0,3,3.5,83.5,0.061614578932429276
infafox#690175,A,4,Gen.M Esports,3.2,12,1,32322,1569.3091050517419,99735.25,1370.75,1518.126340321865,47759.25,23187.25,0,78523.5,9924,493.431646856863,140.75,0,8.25,23.75,146.25,0.12121095217001514
ProtossRule#710348,A,4,Braincellmates,7.666666666666667,11.5,0.8697916666666667,62381.5,3101.649769329203,33245,0,115.0884852612555,112606,29771,0,17373.25,17752.25,882.851086794623,8.75,0,8.75,0,66,0.051102564928968155
Aman#5915647,A,4,Braincellmates,50,12.5,0.9375,10466.25,497.98485926938366,20510,86155.75,4550.70976120056,21585.5,4659.75,7712.25,8970.25,6172.5,297.10912079074234,513.75,4.5,17,1.75,0,0
ThaDuke#9954812,A,4,Braincellmates,15.666666666666666,11.75,0.8697916666666667,57036,2770.0619766116442,22839.5,0,148.8199464905789,90306,16143.75,0,7591.5,11610.25,564.5455987758837,19.75,3,0,8,22,0.017348959280343308
Jäger#566419,A,4,Braincellmates,4.25,8.5,0.6319444444444444,29137.5,1426.3609978385527,61304.5,0,953.2795246225011,160530.75,14792.75,0,29801.75,20606,1010.1730337362376,48.25,0,3.5,5.75,87.25,0.06749429334956729
BoneZ#6658235,A,4,Braincellmates,12,12,0.9097222222222222,21268.5,1018.8821680907378,78955,387.75,1171.7877967209856,52615.25,14789.75,0,56995.75,8918.75,420.80459876402915,155.25,0,8.5,34.75,36,0.030708403715798957
GreekFire#10725023,A,1,Gen.M Esports,2,6,0.75,22103,873.9962105610017,29621,85039,3362.609770162287,24011,9455,10155,15642,6676,263.98220611252987,257,0,52,0,150,0.09885493038965318
